# reciters_qw_new.tsv — القرّاءُ الجدد في **ورشٍ وقالون** الذين دخلوا الكتالوج
# بوضع «السورة الكاملة» (‏`ayahCertified:false` · `ayahCoverage:0.0`) وينتظرون
# فهرسةً آية-بآية. وهم **أولويةُ المالك الأولى** (‏ورش وقالون قبل حفص).
#
# المصدر: `catalog/reciters.json` على الدلو — مقروءاً 2026-09-09 ‏02:0xZ:
#   kherkhashi_qalun · maroush_qalun · masarawy_warsh — الثلاثةُ mode=surah cov=0.0
#
# ⛔ والرابطُ **ليس مخمَّناً**: `probe_new_reciter.py:242` يبني عناوينَه
#    `base.rstrip("/") + f"/{s:03d}.mp3"`، وبها مرّ الحارسُ الأوّل 114/114
#    لكلٍّ من الثلاثة (‏`state/newreciters/<id>.probe.json` على الدلو).
#
# ⛔ والعمودُ الرابع **وزنٌ لا نطاقُ سور**: `run_shard.sh:270` يمرّر «1-114»
#    دائماً، والعمودُ يُقرأ في `assign_shard.py` لموازنة الشرائح وحدها.
kherkhashi_qalun	qalun	https://archive.org/download/alkabbah.com-ABO-YOOSEF-ALKHERKHASHY-QALOON/{surah:03d}.mp3	4
maroush_qalun	qalun	https://archive.org/download/Kamal-Almaroush-Qalon/{surah:03d}.mp3	4
masarawy_warsh	warsh	https://archive.org/download/Al_Quran_tilawat_Hassan_Eissa_AlMasarawy/{surah:03d}.mp3	4
# ── أُضيفا 2026-09-09 ‏03:0xZ: دخلا الكتالوجَ بعد قراءةِ هذا الملفّ.
# ⛔ وأُعيدا إليه بعد أن تبيّن أنّ `concurrency: rafiq-align-<smoke>` يُلغي
#    المعلَّقَ عند دخولِ تشغيلةٍ جديدة — فملفٌّ ثانٍ يقتل الأوّل لا يوازيه.
#    ⇒ **قائمةٌ واحدةٌ وتشغيلةٌ واحدة**، والخمسةُ فيها.
andari_qalun	qalun	https://archive.org/download/mahmood---othman---altayeb--alendary--by--qaloon----mp3--full--mushaf--quran--/{surah:03d}.mp3	4
iraoui_warsh	warsh	https://archive.org/download/64--kb-mohammad---aleerawy-----by--warsh----mp3--full--mushaf--quran--114--sora/{surah:03d}.mp3	4
# ── وأُضيف ثلاثةٌ 2026-09-09 ‏04:5xZ: دخلوا الكتالوجَ بعد أن رُفع فخُّ الشاهد
#    (`106,96,107` ⇒ `46,30,89` لورشٍ و`89,46,72` لقالون). والتشغيلةُ
#    `34305413402` كانت **معلَّقةً لم تبدأ**، فدمجُهم فيها خسارتُه صفر.
fakhfakh_qalun	qalun	https://archive.org/download/48--kb--alhady--bn--altaher--alfakhfakh--by---qaloon---mp3--full--mushaf--qura/{surah:03d}.mp3	4
gharbi_warsh	warsh	https://archive.org/download/128----kb-mustufa--gharby---by--warsh-mp3--full--mushaf--quran--114--sora---fr/{surah:03d}.mp3	4
derini_warsh	warsh	https://archive.org/download/amrou-el-derini_Warsh/{surah:03d}.mp3	4
